0 cycle time,-1 cycle time,35f jump,34f jump,33f jump,32f jump,31f jump,30f jump,29f jump,28f jump,27f jump,,Notes:,
3:12.763,2:59.707,11-14f r,,,,,,,,,,Red color - jump isn't possible,
3:12.780,2:59.724,10-13f r,11-15f r,,,,,,,,,Green color -no need for recovery,
3:12.797,2:59.741,9-12f r,10-14f r,11-15f r,,,,,,,,r - walk right,
3:12.814,2:59.758,8-11f r,9-13f r,11-14f r,12-16f r,,,,,,,l - walk left,
3:12.831,2:59.775,7-10f r,8-12f r,10-13f r,11-15f r,,,,,,,f - frames,
3:12.848,2:59.792,6-9f r,8-11f r,9-13f r,11-15f r,12-17f r,,,,,,,
3:12.865,2:59.809,5-8f r,7-10f r,8-12f r,10-14f r,12-16f r,,,,,,,
3:12.882,2:59.826,4-7f r,6-9f r,7-11f r,9-13f r,11-15f r,12-17f r,,,,,,
3:12.899,2:59.843,3-6f r,5-8f r,6-10f r,8-12f r,10-14f r,12-16f r,,,,,,
3:12.916,2:59.860,2-5f r,4-7f r,5-9f r,7-11f r,9-14f r,11-16f r,,,,,,
3:12.933,2:59.877,1-4f r,3-6f r,4-8f r,7-10f r,9-13f r,10-15f r,,,,,,
3:12.950,2:59.894,,2-5f r,4-7f r,6-10f r,8-12f r,10-14f r,13-17f r,,,,,
3:12.967,2:59.911,,1-4f r,3-6f r,5-9f r,7-11f r,9-13f r,12-17f r,,,,,
3:12.984,2:59.928,,,2-5f r,4-8f r,7-11f r,8-13f r,11-16f r,,,,,
3:13.001,2:59.945,,,1-4f r,3-7f r,6-10f r,8-12f r,11-15f r,,,,,
3:13.018,2:59.962,3-6f l,,,2-6f r,5-9f r,7-11f r,10-15f r,,,,,
3:13.035,2:59.979,5-8f l,,,2-5f r,4-8f r,6-10f r,10-14f r,12-17f r,,,,
3:13.052,2:59.996,8-9f l,2-6f l,,1-4f r,3-7f r,6-10f r,9-13f r,12-16f r,,,,
3:13.069,3:00.013,11f l,5-8f l,,,3-7f r,5-9f r,8-13f r,11-16f r,,,,
3:13.086,3:00.030,,7-9f l,1-6f l,,2-6f r,4-8f r,8-12f r,11-15f r,,,,
3:13.103,3:00.047,,10f l,3-7f l,,1-5f r,3-7f r,7-11f r,10-15f r,,,,
3:13.120,3:00.064,,,6-8f l,,,3-6f r,7-11f r,10-14f r,,,,
3:13.137,3:00.081,,,8-10f l,,,2-6f r,6-10f r,9-13f r,,,,
3:13.154,3:00.098,,,11f l,2-6f l,,1-5f r,5-9f r,9-13f r,,,,
3:13.171,3:00.115,,,,4-8f l,,,5-8f r,8-12f r,,,,
3:13.188,3:00.132,,,,7-9f l,,,4-9f r,7-11f r,12-16f r,,,
3:13.205,3:00.149,,,,9-10f l,,,3-7f r,7-11f r,11-15f r,,,
3:13.222,3:00.166,,,,12f l,2-6f l,,3-6f r,6-10f r,11-15f r,,,
3:13.239,3:00.183,,,,,4-7f l,,2-6f r,6-9f r,10-14f r,,,
3:13.256,3:00.200,,,,,6-9f l,,1-5f r,6-8f r,10-14f r,,,
3:13.273,3:00.217,,,,,8-10f l,1-6f l,1-4f r,4-8f r,9-13f r,,,
3:13.290,3:00.234,,,,,11f l,4-8f l,,4-7f r,9-12f r,,,
3:13.307,3:00.251,,,,,,6-9f l,,3-7f r,8-12f r,,,
3:13.324,3:00.268,,,,,,9-10f l,,3-6f r,8-11f r,,,
3:13.341,3:00.285,,,,,,11f l,,2-5f r,7-10f r,,,
3:13.358,3:00.302,,,,,,,,1-5f r,7-10f r,,,
3:13.375,3:00.319,,,,,,,,1-4f r,6-9f r,,,
3:13.392,3:00.336,,,,,,,2-6f l,,6-9f r,,,
3:13.409,3:00.353,,,,,,,6-8f l,,5-7f r,,,
3:13.426,3:00.370,,,,,,,8-9f l,,4-7f r,,,
3:13.443,3:00.387,,,,,,,10f l,,4-6f r,,,
3:13.460,3:00.404,,,,,,,,,3-6f r,,,
3:13.477,3:00.421,,,,,,,,2-5f l,3-5f r,,,
3:13.494,3:00.438,,,,,,,,4-6f l,2-4f r,,,
3:13.511,3:00.455,,,,,,,,6-7f l,2-4f r,,,
3:13.528,3:00.472,,,,,,,,7-8f l,1-3f r,,,
3:13.545,3:00.489,,,,,,,,9f l,,,,
3:13.562,3:00.506,,,,,,,,,,,,
3:13.579,3:00.523,,,,,,,,,,,,
3:13.596,3:00.540,,,,,,,,,,,,
3:13.613,3:00.557,,,,,,,,,,,,
3:13.630,3:00.574,,,,,,,,,,,,
3:13.647,3:00.591,,,,,,,,,1-3f l,,,
3:13.664,3:00.608,,,,,,,,,3-4f l,,,
3:13.681,3:00.625,,,,,,,,,5f l,,,
,,,,,,,,,,,,X coordinate,Y coordinate
,,,,,,,,,,,Starting position,48.00,-10858.00
,,,,,,,,,,,Furthest left,142.51,-10946.00
,,,,,,,,,,,Furthest right,150.82,-10946.00
