Area,Number of occurrences in Jumple
Chapel Perilous,19
Colossal Dungeon,18
The Hole,18
Bargainburg,16
Moulding Manor,16
Philosopher’s Forest,16
Bugstalk,15
Deep Ruin,15
Halted Ruin,15
Phantom Tower,15
Great Frontier,14
Imp Room,14
The Tower,14
Colossal Drain,13
The Dark Tower,12
Lost Frontier,12
Stormwall Pass,12
Windswept Bluff,12
Tower of Anthumbra,11
Underburg,11
Redcrown Woods,10
Black Sanctum,9
Bog,9
Brightcrown Woods,9
Hidden Kingdom,9
House of Nine Lives,9
Blue Ruin,8
False Kings’ Castle,8
False Kings’ Keep,6
