Date (YYYY-MM-DD),Map,Area,Screen
2024-11-25,Babe of Redemption,Containment Breach,3
2024-11-26,Babe of the Heavens,Misty Woods,3
2024-11-27,Babe of the Realms,Basalt Pinnacle,5
2024-11-28,Babe of the Realms,Chemical Fortress,6
2024-11-29,Babe of Dimension,Digital Frontier,6
2024-11-30,Immortal Babe,Ascending Abduction,3
2024-12-01,Babe of Dimension,The Tower of Light,6
2024-12-02,Babe of the Heavens,Heavenly Ruin,2
2024-12-03,Babe of Utopia,Burned Eden,4
2024-12-04,Back to the Babe,Aperture Laboratories,6
2024-12-05,Babe of Utopia,Burned Eden,5
2024-12-06,Immortal Babe+,Abaddon’s Heights,5
2024-12-07,Babe of Redemption,Tower of Dissociation,7
2024-12-08,Babe of Ascension,The Tower of Ascension,10
2024-12-09,Super Jing World,World 4: Ross Rock Desert,4
2024-12-10,Babe of Transcension,Keep of the Transcendents,2
2024-12-11,Ghost of the Immortal Babe,The Olymp,8
2024-12-12,Babe of Ascension,Fallen Temple,4
2024-12-13,Super Jing World,World 2: Memzy Mines,1
2024-12-14,Babe of Redemption,Control Matrix,2
2024-12-15,Babe of Memories,Colossal Cube,2
2024-12-16,Babe of the Heavens,Misty Woods,6
2024-12-17,Babe of Transcension,Consequences of Destruction,5
2024-12-18,Babe of Inferno,Secret of Rinfone,6
2024-12-19,Waterfall Babe,Light Chamber (Water Variation),6
2024-12-20,Waterfall Babe,Cave System,3
2024-12-21,Babe of Ascension,Rustic Chalet,4
2024-12-22,Babe of Redemption,Neon Fractal World,2
2024-12-23,Babe of the Realms,Chemical Fortress,4
2024-12-24,Babe of Dimension,Digital Frontier,3
2024-12-25,Babe of Inferno,Gorge,2
2024-12-26,Immortal Babe+,Tower of Darkness,8
2024-12-27,Babe of Dimension+,Rule of Aeolus,4
2024-12-28,Ghost of the Immortal Babe,Gomorrah,3
2024-12-29,Babe of Dimension+,The True Tower of Light,2
2024-12-30,Babe of Dimension+,Ashen Dungeon,4
2024-12-31,Babe of Redemption,KZ_Valid,4
2025-01-01,Ghost of the Immortal Babe,The Olymp,6
2025-01-02,Babe of Memories,Colossal Cube,5
2025-01-03,Babe of Utopia,Burned Eden,1
2025-01-04,Babe of Dimension,Magnetic Skyscraper,5
2025-01-05,Back to the Babe,Leaning Tower of Crystoasis,4
2025-01-06,Immortal Babe+,Descending Disruption,3
2025-01-07,Waterfall Babe,Exterior: The Blizzard,3
2025-01-08,Babe of Transcension,Keep of the Transcendents ,2
2025-01-09,Ghost of the Immortal Babe,Sodom,3
2025-01-10,Babe of Inferno,Hell Great Library,2
