Date (YYYY-MM-DD),Map,Area,Screen
2024-10-27,Main Babe,Great Frontier,5
2024-10-28,Main Babe,Windswept Bluff,1
2024-10-29,New Babe+,Hidden Kingdom,5
2024-10-30,Ghost of the Babe,Bog,5
2024-10-31,Ghost of the Babe ,Philosophers Forest,5
2024-11-01,Main Babe,Chapel Perilous,3
2024-11-02,New Babe+,Deep Ruin,1
2024-11-03,Main Babe,Colossal Drain,1
2024-11-04,Ghost of the Babe,Bugstalk,5
2024-11-05,Ghost of the Babe,Bog,6
2024-11-06,Ghost of the Babe,House of Nine Lives,6
2024-11-07,Ghost of the Babe,Bugstalk,4
2024-11-08,New Babe+,Colossal Dungeon,2
2024-11-09,Ghost of the Babe,Philosophers Forest,2
2024-11-10,Main Babe,The Tower,2
2024-11-11,Ghost of the Babe,The Hole,1
2024-11-12,New Babe+,False Kings’ Castle,4
2024-11-13,Ghost of the Babe,Halted Ruin,6
2024-11-14,Ghost of the Babe,Phantom Tower,1
2024-11-15,Ghost of the Babe,Halted Ruin,4
2024-11-16,Main Babe,Stormwall Pass,5
2024-11-17,New Babe+,Brightcrown Woods,5
2024-11-18,New Babe+,Deep Ruin,5
2024-11-19,Ghost of the Babe,Bog,5
2024-11-20,New Babe+,False Kings’ Castle,3
2024-11-21,Ghost of the Babe,Halted Ruin,5
2024-11-22,Ghost of the Babe,Bog,3
2024-11-23,New Babe+,Deep Ruin,5
2024-11-24,Ghost of the Babe,Bog,4
2024-11-25,Ghost of the Babe,The Hole,4
2024-11-26,New Babe+,Underburg,2
2024-11-27,Main Babe,Great Frontier,4
2024-11-28,New Babe+,Underburg,3
2024-11-29,Ghost of the Babe,Bugstalk,7
2024-11-30,Ghost of the Babe,Tower of Antumbra,2
2024-12-01,Main Babe,Chapel Perilous,1
2024-12-02,Ghost of the Babe,Bugstalk,1
2024-12-03,Main Babe,Blue Ruin,2
2024-12-04,Ghost of the Babe,Moulding Manor,6
2024-12-05,Main Babe,Chapel Perilous,3
2024-12-06,Main Babe,Chapel Perilous,3
2024-12-07, New Babe+,Colossal Dungeon,1
2024-12-08,New Babe+,Imp Room,2
2024-12-09,Main Babe,Stormwall Pass,5
2024-12-10,Ghost of the Babe,The Hole,1
2024-12-11,Ghost of the Babe,House of Nine Lives,3
2024-12-12,New Babe+,False Kings’ Castle,1
2024-12-13,New Babe+,Deep Ruin,4
2024-12-14,Ghost of the Babe,Phantom Tower,7
2024-12-15,Main Babe,Bargainburg,1
2024-12-16,Ghost of the Babe,Phantom Tower,3
2024-12-17,Main Babe,Bargainburg,1
2024-12-18,Main Babe,The Tower,3
2024-12-19,New Babe+,Hidden Kingdom,1
2024-12-20,Ghost of the Babe,Bog,5
2024-12-21,Ghost of the Babe,Philosophers Forest,3
2024-12-22,Ghost of the Babe,Bugstalk,4
2024-12-23,Ghost of the Babe,Moulding Manor,4
2024-12-24,Ghost of the Babe,Moulding Manor,2
2024-12-25,Ghost of the Babe,The Hole,3
2024-12-26,New Babe+,Black Sanctum,6
2024-12-27,Main Babe,Colossal Drain,5
2024-12-28,New Babe+,Deep Ruin,1
2024-12-29,Main Babe,Bargainburg,5
2024-12-30,Ghost of the Babe,The Hole,4
2024-12-31,Ghost of the Babe,Bugstalk,1
2025-01-01,New Babe+,Imp Room,2
2025-01-02,New Babe+,Underburg,3
2025-01-03,Main Babe,Colossal Drain,3
2025-01-04,Ghost of the Babe,Philosophers Forest,5
2025-01-05,Main Babe,Windswept Bluff,1
2025-01-06,Ghost of the Babe,Phantom Tower,7
2025-01-07,New Babe+,Black Sanctum,2
2025-01-08,Main Babe,Chapel Perilous,2
2025-01-09,Main Babe,Chapel Perilous,4
2025-01-10,Main Babe,Windswept Bluff,1
2025-01-11,New Babe+,False Kings’ Castle,4
2025-01-12,New Babe+,Deep Ruin,4
2025-01-13,New Babe+,Colossal Dungeon,3
2025-01-14,Ghost of the Babe,Moulding Manor,6
2025-01-15,Ghost of the Babe,The Hole,2
2025-01-16,Ghost of the Babe,Moulding Manor,6
2025-01-17,Main Babe,Great Frontier,3
2025-01-18,Ghost of the Babe,Bugstalk,1
2025-01-19,New Babe+,Underburg,3
2025-01-20,Main Babe,Redcrown Woods,3
2025-01-21,New Babe+,Lost Frontier,3
2025-01-22,Main Babe,Redcrown Woods,1
2025-01-23,New Babe+,Underburg,7
2025-01-24,Main Babe,Stormwall Pass,4
2025-01-25,Main Babe,Great Frontier,3
2025-01-26,Main Babe,False Kings’ Keep,3
2025-01-27,New Babe+,Hidden Kingdom,2
2025-01-28,New Babe+,Black Sanctum,5
2025-01-29,New Babe+,Colossal Dungeon,1
2025-01-30,Main Babe,Chapel Perilous,1
2025-01-31,Ghost of the Babe,Moulding Manor,5
2025-02-01,Ghost of the Babe,Tower of Antumbra,4
2025-02-02,New Babe+,Black Sanctum,4
2025-02-03,New Babe+,Brightcrown Woods,1
2025-02-04,New Babe+,Deep Ruin,1
2025-02-05,Ghost of the Babe,Halted Ruin,3
2025-02-06,New Babe+,Colossal Dungeon,6
2025-02-07,Main Babe,Windswept Bluff,1
2025-02-08,Main Babe,Bargainburg,3
2025-02-09,Main Babe,Stormwall Pass,5
2025-02-10,New Babe+,Brightcrown Woods,6
2025-02-11,Main Babe,Redcrown Woods,1
2025-02-12,Main Babe,Chapel Perilous,1
2025-02-13,Main Babe,Chapel Perilous,3
2025-02-14,Ghost of the Babe,Bugstalk,4
2025-02-15,New Babe+,Dark Tower,5
2025-02-16,Ghost of the Babe,Halted Ruin,4
2025-02-17,New Babe+,Hidden Kingdom,4
2025-02-18,Ghost of the Babe,Phantom Tower,1
2025-02-19,Main Babe,Bargainburg,5
2025-02-20,New Babe+,False Kings’ Castle,3
2025-02-21,Main Babe,Great Frontier,2
2025-02-22,Main Babe,Chapel Perilous,2
2025-02-23,Main Babe,Windswept Bluff,1
2025-02-24,Ghost of the Babe,The Hole,1
2025-02-25,Main Babe,Great Frontier,6
2025-02-26,New Babe+,Lost Frontier,3
2025-02-27,Ghost of the Babe,House of Nine Lives,5
2025-02-28,Ghost of the Babe,The Hole,1
2025-03-01,Ghost of the Babe,Philosophers Forest,2
2025-03-02,New Babe+,Lost Frontier,5
2025-03-03,Ghost of the Babe,Phantom Tower,3
