Date,No. of players,Increase (+),WR Time,WR Holder
May 2019,8,8,4:58.333,Crep
June 2019,13,5,4:58.333,Crep
July 2019,19,6,4:42.268,Crep
August 2019,27,8,4:35.825,CookieCrisp
September 2019,31,4,4:35.825,CookieCrisp
October 2019,34,3,4:35.825,CookieCrisp
November 2019,34,0,4:35.825,CookieCrisp
December 2019,38,4,4:35.825,CookieCrisp
January 2020,73,35,4:26.917,CookieCrisp
February 2020,99,26,4:26.917,CookieCrisp
March 2020,108,9,4:24.707,Ny
April 2020,116,8,4:24.707,Ny
May 2020,147,31,4:21.052,CookieCrisp
June 2020,170,23,4:21.052,CookieCrisp
July 2020,196,26,4:20.151,Rustamaniacc_
August 2020,219,23,4:18.128,laayuman
September 2020,234,15,4:18.128,laayuman
October 2020,247,13,4:17.652,hty_ra_t
November 2020,260,13,4:15.816,hty_ra_t
December 2020,272,12,4:15.816,hty_ra_t
January 2021,301,29,4:15.816,hty_ra_t
February 2021,317,16,4:15.816,hty_ra_t
March 2021,335,18,4:11.685,hty_ra_t
April 2021,346,11,4:11.685,hty_ra_t
May 2021,409,63,4:11.685,hty_ra_t
June 2021,457,48,4:05.174,hty_ra_t
July 2021,469,12,4:05.174,hty_ra_t
August 2021,488,19,4:05.174,hty_ra_t
September 2021,526,38,4:05.174,hty_ra_t
October 2021,543,17,4:05.174,hty_ra_t
November 2021,553,10,4:05.174,hty_ra_t
December 2021,582,29,4:05.174,hty_ra_t
January 2022,646,64,4:05.174,hty_ra_t
February 2022,688,42,4:05.174,hty_ra_t
March 2022,740,52,4:05.174,hty_ra_t
April 2022,777,37,4:04.664,Casu
May 2022,811,34,4:04.052,Casu
June 2022,830,19,4:04.052,Casu
July 2022,846,16,4:03.576,Trimp
August 2022,858,12,4:03.576,Trimp
September 2022,888,30,4:02.811,Trimp
October 2022,904,16,4:02.811,Trimp
November 2022,918,14,4:02.811,Trimp
December 2022,934,16,4:02.811,Trimp
January 2023,961,27,4:01.570,Trimp
February 2023,979,18,4:01.570,Trimp
March 2023,995,16,4:01.570,Trimp
April 2023,1012,17,4:01.570,Trimp
May 2023,1032,20,4:01.570,Trimp
June 2023,1054,22,4:01.570,Trimp
July 2023,1095,41,4:01.570,Trimp
August 2023,1119,24,4:01.570,Trimp
September 2023,1131,12,4:01.570,Trimp
October 2023,1143,12,4:01.570,Trimp
November 2023,1150,7,4:01.570,Trimp
December 2023,1159,9,4:01.570,Trimp
January 2024,1169,10,4:00.992,Casu
February 2024,1184,15,4:00.975,Casu
March 2024,1194,10,3:59.989,Trimp
April 2024,1200,6,3:59.989,Trimp
May 2024,1214,14,3:59.989,Trimp
June 2024,1222,8,3:59.989,Trimp
July 2024,1234,12,3:59.989,Trimp
August 2024,1250,16,3:59.989,Trimp
