Fit Number,Fit Code,Fit,Items,Number of players using that fit,,,
1.,0111,,"Shoes, Tunic, King’s Cape",1,,Total:,982
2.,0210,,"Yellow Shoes, Tunic",0,,,
3.,0211,,"Yellow Shoes, Tunic, King’s Cape",0,,,
4.,2000,,Crown,262,,,
5.,2001,,"Crown, King’s Cape",18,,,
6.,2100,,"Crown, Shoes",189,,,
7.,2101,,"Crown, Shoes, King’s Cape",43,,,
8.,2200,,"Crown, Yellow Shoes",3,,,
9.,2201,,"Crown, Yellow Shoes, King’s Cape",5,,,
10.,2010,,"Crown, Tunic",26,,,
11.,0000,,-,28,,,
12.,2011,,"Crown, Tunic, King’s Cape",17,,,
13.,2110,,"Crown, Shoes, Tunic",32,,,
14.,2111,,"Crown, Shoes, Tunic, King’s Cape",39,,,
15.,2210,,"Crown, Yellow Shoes, Tunic",3,,,
16.,2211,,"Crown, Yellow Shoes, Tunic, King’s Cape",6,,,
17.,3000,,Magic Crown,8,,,
18.,3001,,"Magic Crown, King’s Cape",8,,,
19.,3100,,"Magic Crown, Shoes",30,,,
20.,3101,,"Magic Crown, Shoes, King’s Cape",12,,,
21.,3200,,"Magic Crown, Yellow Shoes",0,,,
22.,0001,,King’s Cape,2,,,
23.,3201,,"Magic Crown, Yellow Shoes, King’s Cape",2,,,
24.,3010,,"Magic Crown, Tunic",2,,,
25.,3011,,"Magic Crown, Tunic, King’s Cape",7,,,
26.,3110,,"Magic Crown, Shoes, Tunic",8,,,
27.,3111,,"Magic Crown, Shoes, Tunic, King’s Cape",16,,,
28.,3210,,"Magic Crown, Yellow Shoes, Tunic",2,,,
29 (Sub 4 fit).,3211,,"Magic Crown, Yellow Shoes, Tunic, King’s Cape",7,,,
30.,4000,,Golden Cap,13,,,
31.,4001,,"Golden Cap, King’s Cape",8,,,
32.,4100,,"Golden Cap, Shoes",14,,,
33.,0100,,Shoes,11,,,
34 (AI Fit).,4101,,"Golden Cap, Shoes, King’s Cape",20,,,
35.,4200,,"Golden Cap, Yellow Shoes",2,,,
36.,4201,,"Golden Cap, Yellow Shoes, King’s Cape",7,,,
37.,4010,,"Golden Cap, Tunic",7,,,
38.,4011,,"Golden Cap, Tunic, King’s Cape",3,,,
39.,4110,,"Golden Cap, Shoes, Tunic",7,,,
40.,4111,,"Golden Cap, Shoes, Tunic, King’s Cape",13,,,
41.,4210,,"Golden Cap, Yellow Shoes, Tunic",3,,,
42.,4211,,"Golden Cap, Yellow Shoes, Tunic, King’s Cape",12,,,
43.,1000,,Cap,10,,,
44.,0101,,"Shoes, King’s Cape",0,,,
45.,1001,,"Cap, King’s Cape",1,,,
46.,1100,,"Cap, Shoes",17,,,
47.,1101,,"Cap, Shoes, King’s Cape",6,,,
48 (Marty McFit™).,1200,,"Cap, Yellow Shoes",1,,,
49.,1201,,"Cap, Yellow Shoes, King’s Cape",0,,,
50.,1010,,"Cap, Tunic",3,,,
51.,1011,,"Cap, Tunic, King’s Cape",2,,,
52.,1110,,"Cap, Shoes, Tunic",2,,,
53.,1111,,"Cap, Shoes, Tunic, King’s Cape",4,,,
54.,1210,,"Cap, Yellow Shoes, Tunic",0,,,
55.,0200,,Yellow Shoes,0,,,
56.,1211,,"Cap, Yellow Shoes, Tunic, King’s Cape",1,,,
57.,5000,,Scholar’s Hat,3,,,
58.,5001,,"Scholar’s Hat, King’s Cape",0,,,
59.,5100,,"Scholar’s Hat, Shoes",5,,,
60.,5101,,"Scholar’s Hat, Shoes, King’s Cape",0,,,
61.,5200,,"Scholar’s Hat, Yellow Shoes",1,,,
62.,5201,,"Scholar’s Hat, Yellow Shoes, King’s Cape",0,,,
63.,5010,,"Scholar’s Hat, Tunic",5,,,
64.,5011,,"Scholar’s Hat, Tunic, King’s Cape",0,,,
65.,5110,,"Scholar’s Hat, Shoes, Tunic",6,,,
66.,0201,,"Yellow Shoes, King’s Cape",0,,,
67.,5111,,"Scholar’s Hat, Shoes, Tunic, King’s Cape",6,,,
68.,5210,,"Scholar’s Hat, Yellow Shoes, Tunic",4,,,
69.,5211,,"Scholar’s Hat, Yellow Shoes, Tunic, King’s Cape",3,,,
70.,0010,,Tunic,4,,,
71.,0011,,"Tunic, King’s Cape",1,,,
72 (WideGremlin Fit).,0110,,"Shoes, Tunic",1,,,
,,,,,,,
Cosmetics,,,,,,,
1.,Cap,,47,,,Total:,2001
2.,Crown,,643,,,,
3.,Magic Crown,,102,,,,
4.,Golden Cap,,109,,,,
5.,Scholar’s Hat,,33,,,,
6.,Shoes,,482,,,,
7.,Yellow Shoes,,62,,,,
8.,Tunic,,253,,,,
9.,King’s Cape,,270,,,,
