Country,Number of players,,,,
Poland,245,,,Total:,1306
USA,213,,,,
Unknown,149,,,,
Japan,113,,,,
Canada,42,,,,
Czech Republic,34,,,,
Germany,33,,,,
France,31,,,,
Australia,26,,,,
Taiwan,26,,,,
Finland,25,,,,
England,24,,,,
Russia,23,,,,
Spain,23,,,,
South Korea,20,,,,
United Kingdom,20,,,,
Netherlands,18,,,,
Sweden,17,,,,
Brazil,14,,,,
Argentina,11,,,,
Hong Kong,10,,,,
Greece,8,,,,
Québec ,8,,,,
Denmark,7,,,,
India,7,,,,
Italy,7,,,,
Norway,7,,,,
Saudi Arabia,7,,,,
Scotland,7,,,,
Austria,6,,,,
China,6,,,,
Mexico,6,,,,
Portugal,6,,,,
Vietnam,6,,,,
Belgium,5,,,,
Indonesia,5,,,,
Israel,5,,,,
Romania,5,,,,
Slovakia,5,,,,
Chile,4,,,,
Hungary,4,,,,
New Zealand,4,,,,
Philippines,4,,,,
Switzerland,4,,,,
Uganda,4,,,,
Uruguay,4,,,,
Estonia,3,,,,
Turkey,3,,,,
Ukraine,3,,,,
Antarctica,2,,,,
Bahrain,2,,,,
Colombia,2,,,,
Cyprus,2,,,,
Lithuania,2,,,,
Peru,2,,,,
Serbia,2,,,,
Singapore,2,,,,
Armenia,1,,,,
Azerbaijan,1,,,,
Belarus,1,,,,
Bosnia and Herzegovina,1,,,,
Brunei,1,,,,
Canary Islands,1,,,,
Catalonia,1,,,,
Costa Rica,1,,,,
Croatia,1,,,,
Egypt,1,,,,
European Union,1,,,,
Honduras,1,,,,
Iraq,1,,,,
Ireland,1,,,,
Jordan,1,,,,
Kazakhstan,1,,,,
Lebanon,1,,,,
Malaysia,1,,,,
Nepal,1,,,,
Pakistan,1,,,,
Panama,1,,,,
Puerto Rico,1,,,,
Venezuela,1,,,,
Wales,1,,,,
