Place,Player,Time,Jumps,Falls,,,,,
1.,Trimp,3:59.989,230,0,,,Jumps,Falls,
2.,Casu,4:00.227,227,0,,Average,"229,59","0,09",
3.,Hanyeah,4:01.315,229,0,,,,,
4.,Mental_Masochist,4:01.893,233,0,,,,,Notes:
5.,ambinub,4:02.590,229,0,,,,,„-” - there is no video proof available
6.,Crbknight,4:02.891,234,0,,,,,"„?” - there is a vidego proof, but end screen is not shown"
7.,flippeh,4:03.151,228,0,,,,,Green Color – smallest number of jumps
8.,Kuroguro2000,4:03.219,237,0,,,,,Red Color – biggest number of jumps
9.,Heppy,4:03.695,238,0,,,,,
10.,Hybriiid,4:03.899,229,0,,,,,
11.,Kamacz,4:04.171,224,0,,,,,
12.,hty_ra_t,4:05.174,220,0,,,,,
13.,Yoyogi_yoshi_Vtuber,4:05.361,226,0,,,,,
14.,H_ebi,4:06.007,229,0,,,,,
15.,Lehvel,4:09.713,235,0,,,,,
16.,ExiledMonk,4:11.447,224,0,,,,,
17.,m_yoyoyo,4:15.731,236,0,,,,,
18.,Stego20,4:15.850,236,1,,,,,
19.,laayuman,4:16.020,233,0,,,,,
20.,Rustamaniacc_,4:16.139,221,0,,,,,
21.,Brungo,4:16.173,230,0,,,,,
22.,KurierDPD,4:16.275,234,0,,,,,
23.,Cartewns,4:16.428,237,0,,,,,
24.,Valmerix,4:16.564,228,0,,,,,
25.,Bonzai917,4:16.615,231,0,,,,,
26.,Flan,4:16.887,232,0,,,,,
27.,Fasu,4:16.989,218,0,,,,,
28.,latina,4:17.023,244,0,,,,,
29.,Ridgy,4:17.142,234,0,,,,,
30.,AS13B,4:17.193,239,0,,,,,
31.,primax,4:17.278,217,0,,,,,
31.,SirNewt,4:17.329,234,0,,,,,
33.,eyetooth96,4:17.448,227,0,,,,,
34.,Taken,4:17.754,236,0,,,,,
35.,20centt,4:18.162,228,0,,,,,
36.,Onlyoyo,4:18.502,219,0,,,,,
37.,ike,4:18.723,229,0,,,,,
38.,CookieCrisp,4:18.910,226,0,,,,,
39.,Mpuddi,4:18.978,218,0,,,,,
40.,Lodinggggg,4:19.318,227,0,,,,,
41.,KosiechecK,4:19.539,229,0,,,,,
42.,Ny,4:19.794,215,0,,,,,
43.,joeknit,4:20.406,226,0,,,,,
44.,oHypix,4:20.814,228,0,,,,,
45.,Im_Okay,4:20.831,229,0,,,,,
46.,eskine,4:21.103,238,0,,,,,
47.,Poppo_,4:21.409,223,0,,,,,
48.,mican8s,4:21.647,233,0,,,,,
49.,ChroNickPain,4:21.800,237,0,,,,,
50.,kedako,4:22.021,219,0,,,,,
51.,Rifre,4:22.055,222,0,,,,,
52.,Aytk100,4:22.293,234,0,,,,,
53.,Rauligvg,4:22.939,227,0,,,,,
54.,Kojooo,4:22.956,226,0,,,,,
55.,relisoc,4:23.007,227,0,,,,,
56.,eniplex,4:23.126,225,0,,,,,
57.,CrazyNeighbour714,4:23.143,221,0,,,,,
58.,texhnolyzem,4:23.823,224,0,,,,,
59.,Alanukan,4:24.299,233,0,,,,,
60.,Skromnique,4:24.469,226,0,,,,,
61.,henthans,4:24.690,224,0,,,,,
62.,sggu,4:25.064,222,0,,,,,
63.,samsamspada,4:25.421,237,0,,,,,
64.,Kenchan,4:25.642,228,0,,,,,
65.,mountains,4:25.931,219,0,,,,,
66.,zyx098,4:27.257,227,0,,,,,
67.,Em_ily,4:28.073,229,1,,,,,
68.,tetoloid,4:28.345,236,0,,,,,
69.,honzr,4:32.918,236,0,,,,,
70.,Crep,4:33.513,228,0,,,,,
71.,sisiza1771,4:35.094,231,0,,,,,
72.,Krack_1212,4:35.315,239,0,,,,,
73.,HotLencia69,4:35.332,233,1,,,,,
74.,BsCloudy,4:35.468,244,1,,,,,
75.,SR_mochi,4:35.723,235,0,,,,,
76.,twitchpop,4:35.791,229,1,,,,,
77.,BlackIron,4:35.825,245,0,,,,,
78.,Pirce59,4:36.012,227,1,,,,,
78.,doctorRick,4:36.012,228,0,,,,,
80.,Magiczny_00,4:36.250,224,0,,,,,
81.,M8N,4:36.335,232,0,,,,,
82.,oShorty,4:36.590,235,0,,,,,
82.,GlowdFire,4:36.828,235,0,,,,,
84.,control_speed,4:37.202,228,0,,,,,
85.,Wisteer_,4:37.253,223,0,,,,,
86.,yuyumon_nick,4:37.559,236,0,,,,,
87.,DJJake7,4:37.610,236,3,,,,,
88.,BotRaj,4:37.729,227,0,,,,,
89.,retsu_teno,4:37.797,228,0,,,,,
89.,Chariot_Rider,4:37.797,240,0,,,,,
91.,laza2115,4:37.882,227,0,,,,,
92.,DolpIn_62,4:38.392,228,0,,,,,
93.,okita_110,4:38.596,222,0,,,,,
94.,Siuuunic,4:38.613,223,0,,,,,
95.,BlueStormDragon,4:38.698,218,0,,,,,
96.,You_too,4:38.868,245,0,,,,,
96.,tsiiga,4:38.868,227,0,,,,,
98.,Entorihi,4:39.038,245,0,,,,,
99.,caseyreese,4:39.378,226,0,,,,,
100.,2D_PPT,4:39.446,229,0,,,,,
