Place,Player,Time,Jumps,Falls,,,,,
1.,Trimp,5:34.696,269,0,,,Jumps,Falls,
2.,Hanyeah,5:36.311,267,0,,Average,"297,96","2,67",
3.,Hybriiid,5:37.399,304,0,,,,,
4.,Kuroguro2000,5:38.538,263,0,,,,,Notes:
5.,hty_ra_t,5:44.335,255,0,,,,,„-” - there is no video proof available
6.,Stego20,5:45.525,267,1,,,,,"„?” - there is a vidego proof, but end screen is not shown"
7.,Heppy,5:47.140,278,0,,,,,Green Color – smallest number of jumps
8.,Lehvel,5:48.228,268,0,,,,,Red Color – biggest number of jumps
9.,SirNewt,5:52.699,264,0,,,,,
10.,ExiledMonk,5:56.745,262,0,,,,,
11.,Ridgy,5:57.153,269,0,,,,,
12.,ambinub,5:59.550,294,0,,,,,
13.,m_yoyoyo,6:04.803,269,0,,,,,
14.,Poppo_,6:05.483,265,0,,,,,
15.,eyetooth96,6:07.608,265,1,,,,,
16.,Rifre,6:10.073,261,1,,,,,
17.,CrazyNeighbour714,6:12.895,249,0,,,,,
18.,Yoyogi_yoshi_Vtuber,6:12.946,306,0,,,,,
19.,Ny,6:19.797,252,0,,,,,
20.,Valmerix,6:20.052,264,0,,,,,
21.,laayuman,6:20.120,291,0,,,,,
22.,ike,6:22.806,267,2,,,,,
23.,Rauligvg,6:24.064,286,1,,,,,
24.,Miyagi,6:25.117,260,0,,,,,
25.,cjm8026,6:26.699,268,0,,,,,
26.,KurierDPD,6:30.184,265,1,,,,,
27.,yuyumon_nick,6:32.649,275,0,,,,,
28.,ChroNickPain,6:33.635,294,2,,,,,
29.,Drgrrr,6:36.083,273,1,,,,,
30.,flippeh,6:39.993,285,3,,,,,
31.,oHypix,6:46.946,291,1,,,,,
32.,Joebannks,6:49.071,280,1,,,,,
33.,sisiza1771,6:49.360,273,1,,,,,
34.,toskania_,6:49.853,290,1,,,,,
35.,tetoloid,6:51.400,281,3,,,,,
36.,H_ebi,6:58.166,296,2,,,,,
37.,zyx098,7:04.252,280,1,,,,,
38.,control_speed,7:05.493,282,3,,,,,
39.,CookieCrisp,7:06.564,270,1,,,,,
40.,retsu_teno,7:11.341,277,2,,,,,
41.,Krack_1212,7:13.806,294,2,,,,,
42.,sukezamon,7:23.836,295,2,,,,,
43.,yorimitijido,7:24.737,?,?,,,,,
44.,Gr3mXR3apa,7:26.930,-,-,,,,,
45.,Crep,7:28.266,289,1,,,,,
46.,Skromnique,7:29.667,313,1,,,,,
47.,aotogarashi,7:32.506,295,2,,,,,
48.,Bogman,7:32.591,282,1,,,,,
49.,skatman117,7:34.104,299,2,,,,,
50.,BlackANTIvenom,7:34.172,273,2,,,,,
51.,2D_PPT,7:35.311,291,1,,,,,
52.,resolver,7:35.383,284,2,,,,,
53.,eniplex,7:35.872,278,3,,,,,
54.,dennydon2,7:39.051,277,0,,,,,
55.,B1ink01,7:44.117,338,3,,,,,
56.,M8N,7:44.355,294,1,,,,,
57.,DolpIn_62,7:48.333,317,6,,,,,
58.,Vitas2222,7:49.523,288,0,,,,,
59.,personakun,7:51.189,-,-,,,,,
60.,be5moti,7:52.090,298,3,,,,,
61.,_sample,7:52.974,316,0,,,,,
62.,JackJJ,7:53.739,293,0,,,,,
63.,solwf,7:53.909,306,7,,,,,
64.,You_too,7:55.405,326,6,,,,,
65.,Kelthaz,7:59.961,303,0,,,,,
66.,chocofondue,8:02.375,323,0,,,,,
67.,Pirce59,8:04.619,295,2,,,,,
68.,doctorRick,8:06.914,304,6,,,,,
69.,L3BLANC,8:12.133,292,1,,,,,
70.,Ali.Q,8:13.391,284,0,,,,,
71.,Mario568151,8:15.805,286,0,,,,,
72.,MysticSooosu,8:21.449,292,6,,,,,
73.,Shwift,8:26.133,291,4,,,,,
74.,caseyreese,8:27.501,317,8,,,,,
75.,Lenrok,8:31.496,-,-,,,,,
76.,sfhsfh100,8:33.910,-,-,,,,,
77.,Denryu,8:35.933,294,6,,,,,
78.,agreergaTW,8:37.701,307,6,,,,,
79.,PrincessRosca,8:48.122,334,11,,,,,
80.,Okita_110,8:48.275,305,8,,,,,
81.,Sajrra,8:49.839,295,4,,,,,
82.,Treize,8:51.114,303,5,,,,,
83.,n_lizard,8:58.220,355,7,,,,,
84.,TheMikuDrip,8:59.648,334,6,,,,,
85.,Aydelotte8950,9:02.028,334,7,,,,,
86.,k3ruba,9:05.122,356,1,,,,,
87.,Thinklater,9:05.513,309,6,,,,,
88.,pahapatu,9:05.547,319,5,,,,,
89.,Kazkade,9:19.487,366,10,,,,,
90.,BakedSpaghetti,9:20.915,303,1,,,,,
91.,Taken,9:22.054,399,7,,,,,
92.,GingerGiant,9:23.533,305,3,,,,,
93.,joeknit,9:26.542,368,10,,,,,
94.,DDDoctor,9:27.800,316,3,,,,,
95.,BsCloudy,9:28.990,398,9,,,,,
96.,Waitingcoronet5,9:30.401,412,5,,,,,
97.,GlowdFire,9:30.622,381,12,,,,,
98.,Teruko,9:43.015,297,5,,,,,
99.,JaitorWUT,9:51.889,361,6,,,,,
100.,DukeDukeDura,9:55.289,347,10,,,,,
